COUPON,NEW,VACATION_1,SW_1,HI,S_INCOME,E_INCOME,S_POP,E_POP,SLOT_1,GATE_1,DISTANCE,FARE,FARE_B
1,3,0,1,5291.99,28637,21112,3036732,205711,1,1,312,64.11,0
1.06,3,0,0,5419.16,26993,29838,3532657,7145897,1,1,576,174.47,1
1.06,3,0,0,9185.28,30124,29838,5787293,7145897,1,1,364,207.76,1
1.06,3,0,1,2657.35,29260,29838,7830332,7145897,0,1,612,85.47,0
1.06,3,0,1,2657.35,29260,29838,7830332,7145897,1,1,612,85.47,0
1.01,3,0,1,3408.11,26046,29838,2230955,7145897,1,1,309,56.76,0
1.28,3,0,0,6754.48,28637,29838,3036732,7145897,1,1,1220,228,1
1.15,3,1,1,5584,26752,29838,1440377,7145897,1,1,921,116.54,0
1.33,3,0,1,4662.44,27211,29838,3770125,7145897,1,1,1249,172.63,1
1.6,2,0,1,2617,25450,29838,1694803,7145897,1,1,964,114.76,0
1.57,3,1,1,1772.59,24575,29838,1197234,7145897,1,1,2104,158.2,0
1.5,1,0,1,3932.29,24706,29838,9056076,7145897,1,1,2329,228.99,1
1.12,3,0,1,4471.62,25995,29838,1115048,7145897,1,1,587,79.17,0
1.29,3,0,1,4356.12,22038,29838,1308499,7145897,1,1,992,132.05,0
1,3,0,0,2626.9,32991,29838,8621121,7145897,0,1,181,117.23,0
1,3,0,0,2626.9,32991,29838,8621121,7145897,0,1,181,117.23,0
1,3,0,0,2626.9,32991,29838,8621121,7145897,1,0,181,117.23,0
1.13,3,1,1,5706.76,22360,29838,1421287,7145897,1,1,788,106.11,0
1.86,3,0,1,1230.48,23025,29838,2753373,7145897,1,1,2001,181.16,1
1.93,3,0,1,2000.67,21121,29838,1228816,7145897,1,1,1866,157.5,0
1.87,3,0,1,1572.93,23903,29838,2673620,7145897,1,1,2290,200.2,1
1.52,3,0,0,2967.59,38813,29838,1653017,7145897,1,1,2454,246.85,1
1.14,3,0,1,4191.24,25824,29838,2549844,7145897,1,1,729,99.7,0
1.13,3,1,1,5201.34,23654,29838,2195215,7145897,1,1,846,106.77,0
1.16,3,0,1,3627.46,29260,23858,7830332,895414,0,1,576,113.5,0
1.16,3,0,1,3627.46,29260,23858,7830332,895414,1,1,576,113.5,0
1.07,3,0,1,5255.24,30916,23901,2230831,372606,1,1,403,69.12,0
1.25,3,0,0,5736.34,26993,30124,3532657,5787293,1,1,939,210,1
1.01,3,0,0,4040.09,32991,23184,8621121,1173217,0,1,291,134.3,0
1.01,3,0,0,4040.09,32991,23184,8621121,1173217,0,1,291,134.3,0
1.01,3,0,0,4040.09,32991,23184,8621121,1173217,1,0,291,134.3,0
1.34,0,0,0,2587.89,32991,18851,8621121,254153,0,1,637,118.95,0
1.34,3,0,0,2587.89,32991,18851,8621121,254153,0,1,637,118.95,0
1.34,1,0,0,2587.89,32991,18851,8621121,254153,1,0,637,118.95,0
1.01,3,0,0,4435.92,26993,25237,3532657,1318892,1,0,227,97.96,0
1.25,3,0,0,8589.17,30124,25237,5787293,1318892,1,0,722,237.8,1
1.16,3,0,0,4523.31,29260,25237,7830332,1318892,0,0,589,234.15,1
1.16,3,0,0,4523.31,29260,25237,7830332,1318892,1,0,589,234.15,1
1.14,3,0,0,4439.86,28637,25237,3036732,1318892,1,0,940,203.17,1
1.12,3,0,0,8714.03,32991,25237,8621121,1318892,0,0,539,250.73,1
1.12,3,0,0,8714.03,32991,25237,8621121,1318892,0,0,539,250.73,1
1.12,3,0,0,8714.03,32991,25237,8621121,1318892,1,0,539,250.73,1
1.04,3,0,0,2712.37,26993,29260,3532657,7830332,0,1,595,106.6,0
1.04,3,0,0,2712.37,26993,29260,3532657,7830332,1,1,595,106.6,0
1.25,3,0,1,4417.16,23665,29260,1038660,7830332,0,1,974,136.27,0
1.25,3,0,1,4417.16,23665,29260,1038660,7830332,1,1,974,136.27,0
1.15,1,0,0,3977.23,30124,29260,5787293,7830332,0,1,854,230.87,1
1.15,3,0,0,3977.23,30124,29260,5787293,7830332,1,1,854,230.87,1
1.01,3,0,0,3910.81,25059,29260,1595139,7830332,0,0,254,180.56,1
1.01,0,0,0,3910.81,25059,29260,1595139,7830332,1,0,254,180.56,1
1.16,3,0,0,9350.13,26993,25059,3532657,1595139,1,0,371,215.83,1
1.12,3,0,0,4478.87,26993,26046,3532657,2915745,1,1,561,197.1,1
1.01,3,0,1,2800.91,29260,26046,7830332,2915745,0,1,316,69.1,0
1.01,1,0,1,2800.91,29260,26046,7830332,2915745,1,1,316,69.1,0
1.06,3,0,0,5110.54,28637,22263,3036732,472254,1,1,592,91.83,0
1.19,3,0,0,4037.09,27211,22263,3770125,472254,1,1,817,111.66,0
1.16,3,1,0,3465.14,24575,22263,1197234,472254,1,1,602,57.62,0
1.36,3,0,0,4384.63,24706,22263,9056076,472254,1,1,833,104.72,0
1.36,3,0,0,2421.04,32991,22263,8621121,472254,0,1,1636,154.74,0
1.36,3,0,0,2421.04,32991,22263,8621121,472254,0,1,1636,154.74,0
1.36,3,0,0,2421.04,32991,22263,8621121,472254,1,0,1636,154.74,0
1.09,3,0,0,4351.31,23025,22263,2753373,472254,1,1,550,77.98,0
1.68,3,0,0,2661.53,31981,22263,4549784,472254,1,1,1476,157.2,0
1.68,3,0,0,2661.53,31981,22263,4549784,472254,0,1,1476,157.2,0
1.13,3,0,0,5356.51,26993,24502,3532657,1442203,1,1,445,113.2,0
1.22,3,0,0,3789.64,30124,24502,5787293,1442203,1,1,633,143.59,0
1.01,3,0,1,2668.2,29260,24502,7830332,1442203,0,1,286,75.07,0
1.01,0,0,1,2668.2,29260,24502,7830332,1442203,1,1,286,75.07,0
1.02,3,0,1,5222.3,22089,28637,668159,3036732,1,1,573,84.46,0
1.05,3,0,0,4624.9,26993,28637,3532657,3036732,1,1,734,113.99,0
1,3,0,1,5502.33,23665,28637,1038660,3036732,1,1,184,67.17,0
1.19,3,0,0,5605.06,30124,28637,5787293,3036732,1,1,1559,320.37,1
1.14,3,0,0,6205.97,29260,28637,7830332,3036732,0,1,805,244.5,1
1.14,3,0,0,6205.97,29260,28637,7830332,3036732,1,1,805,244.5,1
1.02,3,0,1,4386.55,18933,28637,382155,3036732,1,1,354,78.62,0
1.23,3,0,0,4202.66,26993,29055,3532657,1862106,1,1,1200,210.9,1
1.35,3,0,0,6140.91,30124,29055,5787293,1862106,1,1,1755,311.46,1
1.08,3,0,0,5792.28,29260,29055,7830332,1862106,0,1,902,174.06,1
1.08,3,0,0,5792.28,29260,29055,7830332,1862106,1,1,902,174.06,1
1.06,3,0,0,4157.61,28637,29055,3036732,1862106,1,1,638,155.81,0
1.05,3,0,0,4312.95,26993,26506,3532657,4459144,1,0,600,106.56,0
1.06,3,0,0,8162.77,30124,26506,5787293,4459144,1,0,616,110.42,0
1,3,0,1,3059.78,29260,26506,7830332,4459144,0,0,237,74.28,0
1,3,0,1,3059.78,29260,26506,7830332,4459144,1,0,237,74.28,0
1.22,3,0,0,4033.32,28637,26506,3036732,4459144,1,0,1001,245.28,1
1.21,3,0,0,4213.71,29055,26506,1862106,4459144,1,0,1139,256.48,1
1.02,3,0,1,5063.07,28637,14600,3036732,677757,1,1,548,84.23,0
1.02,3,1,0,7032.27,26993,26752,3532657,1440377,1,1,578,105.1,0
1.27,3,1,0,2682.54,30124,26752,5787293,1440377,1,1,1229,121.09,0
1.15,3,1,1,2482.76,29260,26752,7830332,1440377,0,1,1168,153.95,0
1.15,3,1,1,2482.76,29260,26752,7830332,1440377,1,1,1168,153.95,0
1.16,3,1,0,4677.03,28637,26752,3036732,1440377,1,1,1118,207.84,1
1.17,3,1,0,4681.68,26506,26752,4459144,1440377,1,0,1128,113.39,0
1.47,3,1,0,2565.52,30124,26752,5787293,379566,1,1,1245,126.62,0
1.2,3,1,0,3247.31,29260,26752,7830332,379566,0,1,1108,136.68,0
1.2,3,1,0,3247.31,29260,26752,7830332,379566,1,1,1108,136.68,0
1.13,3,1,0,4516.9,26506,26752,4459144,379566,1,0,1088,108.15,0
1.07,3,0,0,4840.48,32991,24348,8621121,111745,0,1,457,180.85,1
1.07,3,0,0,4840.48,32991,24348,8621121,111745,0,1,457,180.85,1
1.07,3,0,0,4840.48,32991,24348,8621121,111745,1,0,457,180.85,1
1.34,3,0,0,5137.41,26993,30268,3532657,1106780,1,1,854,175.81,1
1.13,3,0,0,4146.13,29260,30268,7830332,1106780,0,1,779,240.88,1
1.13,3,0,0,4146.13,29260,30268,7830332,1106780,1,1,779,240.88,1
1.56,3,1,0,3135.14,24575,26681,1197234,873131,1,1,2764,183.19,1
1.03,3,1,0,1706.89,24706,26681,9056076,873131,1,1,2555,167.16,1
1.04,3,1,0,2447.14,38813,26681,1653017,873131,1,1,2401,177.09,1
1.29,3,1,0,3333.11,30916,26681,2230831,873131,1,1,2679,221.89,1
1.19,3,0,0,4468.8,26993,27211,3532657,3770125,1,1,701,233.16,1
1,3,0,1,6269.39,23665,27211,1038660,3770125,1,1,138,67.1,0
1.41,3,0,0,5497.26,30124,27211,5787293,3770125,1,1,1605,349.97,1
1.09,3,0,1,2572.42,29260,27211,7830332,3770125,0,1,939,139.56,0
1.09,3,0,1,2572.42,29260,27211,7830332,3770125,1,1,939,139.56,0
1.31,3,0,1,6172.95,26046,27211,2230955,3770125,1,1,1117,191.63,1
1,3,0,1,5826.14,18933,27211,382155,3770125,1,1,184,65.31,0
1,3,0,1,4992.63,28637,27211,3036732,3770125,1,1,234,67.78,0
1.14,3,0,0,4103.1,29055,27211,1862106,3770125,1,1,866,204.68,1
1.19,3,0,1,3649.8,26506,27211,4459144,3770125,1,0,1102,177.22,1
1.12,3,0,0,5180.13,26993,25475,3532657,1489247,1,1,430,109.78,0
1,3,0,1,3702.18,29260,25475,7830332,1489247,0,1,167,62.63,0
1,0,0,1,3702.18,29260,25475,7830332,1489247,1,1,167,62.63,0
1.11,3,0,1,8437.67,26506,25475,4459144,1489247,1,0,241,169.58,1
1.21,3,1,0,6134.26,24510,25475,379566,1489247,1,1,943,105.73,0
1.34,3,1,0,2883.65,24575,25475,1197234,1489247,1,1,1588,114.13,0
1.52,3,0,0,1787.71,24706,25475,9056076,1489247,1,1,1815,153.5,0
1.27,0,0,0,3543.34,32991,25475,8621121,1489247,0,1,657,195.64,1
1.27,3,0,0,3543.34,32991,25475,8621121,1489247,0,1,657,195.64,1
1.27,3,0,0,3543.34,32991,25475,8621121,1489247,1,0,657,195.64,1
1.24,3,1,1,3009.48,22360,25475,1421287,1489247,1,1,828,97.36,0
1.27,3,0,1,3446.75,23025,25475,2753373,1489247,1,1,1491,138.08,0
1.71,3,0,0,1892.37,38813,25475,1653017,1489247,1,1,1941,157.45,0
1.28,3,1,1,3076.53,23654,25475,2195215,1489247,1,1,844,99.43,0
1,3,1,0,5963.75,26993,23614,3532657,1008768,1,1,280,87.59,0
1.45,3,1,0,3198.81,29260,23614,7830332,1008768,0,1,865,158.63,0
1.45,3,1,0,3198.81,29260,23614,7830332,1008768,1,1,865,158.63,0
1.01,3,1,0,3305.7,26752,23614,1440377,1008768,1,1,303,114.93,0
1.11,0,0,0,6722.01,26993,25450,3532657,1694803,1,1,685,116.18,0
1.04,3,0,1,3296.05,29260,25450,7830332,1694803,0,1,407,75.71,0
1.04,0,0,1,3296.05,29260,25450,7830332,1694803,1,1,407,75.71,0
1.2,3,0,0,7520.09,28637,25450,3036732,1694803,1,1,458,116.57,0
1.02,3,0,0,5505.79,29055,25450,1862106,1694803,1,1,541,110.25,0
1.31,3,0,1,5569.75,26506,25450,4459144,1694803,1,0,639,123.27,0
1.08,2,0,1,4343.85,27211,25450,3770125,1694803,1,1,652,127.78,0
1.39,0,1,1,2844.24,24575,25450,1197234,1694803,1,1,1140,78.24,0
1.31,2,0,1,1843.52,24706,25450,9056076,1694803,1,1,1365,116,0
1.08,0,1,1,7641.73,22089,24575,668159,1197234,1,1,479,72.43,0
1.44,3,1,0,4112.44,26993,24575,3532657,1197234,1,1,1744,143.62,0
1.35,3,1,1,3757.25,23665,24575,1038660,1197234,1,1,1087,80.31,0
1.49,3,1,0,1833.95,30124,24575,5787293,1197234,1,1,2372,133.35,0
1,3,1,1,9592.99,24706,24575,9056076,1197234,1,1,226,52.92,0
1.15,3,1,1,2044.21,29260,24575,7830332,1197234,0,1,1519,123.74,0
1.15,3,1,1,2044.21,29260,24575,7830332,1197234,1,1,1519,123.74,0
1.36,0,1,1,4070.45,26046,24575,2230955,1197234,1,1,1831,159.12,0
1.42,3,1,0,4956.58,24502,24575,125722,1197234,1,1,1769,115.84,0
1.16,3,1,0,4446.51,28637,24575,3036732,1197234,1,1,1052,164.88,1
1.13,3,1,0,3760.1,29055,24575,1862106,1197234,1,1,618,89.47,0
1.19,3,1,0,5307.27,26506,24575,4459144,1197234,1,0,1756,163.78,1
1.18,3,1,1,3690.13,27211,24575,3770125,1197234,1,1,1222,112.99,0
1,0,1,1,2522.01,24706,24575,9056076,1197234,1,1,238,55.57,0
1,0,1,1,2522.01,24706,24575,9056076,1197234,1,1,238,55.57,0
1,3,0,1,5293.05,28637,22726,3036732,547633,1,1,308,59.77,0
1.09,3,0,1,4935.72,22089,24706,668159,9056076,1,1,673,76.79,0
1.38,3,0,0,5465.98,26993,24706,3532657,9056076,1,1,1946,225.56,1
1.35,3,0,0,2902.44,30124,24706,5787293,9056076,1,1,2605,301.79,1
1.19,3,0,0,3413.42,29260,24706,7830332,9056076,0,1,1751,233.78,1
1.19,3,0,0,3413.42,29260,24706,7830332,9056076,1,1,1751,233.78,1
1.56,3,0,0,3300.08,26046,24706,2230955,9056076,1,1,2062,231.97,1
1.92,3,0,0,1550.16,24502,24706,125722,9056076,1,1,1996,179.23,1
1.2,3,0,0,5976.02,28637,24706,3036732,9056076,1,1,1234,272.06,1
1.1,3,0,0,6589.49,29055,24706,1862106,9056076,1,1,854,129.8,0
1.52,3,0,0,4289.78,26506,24706,4459144,9056076,1,0,1988,295.49,1
1.27,3,1,0,3472.17,26752,24706,1440377,9056076,1,1,2341,193.5,1
1.27,3,0,1,3942.83,27211,24706,3770125,9056076,1,1,1379,195.28,1
1.04,3,0,0,5450.85,26993,24307,3532657,989164,1,1,320,101.68,0
1.13,3,0,1,4655.18,29838,24307,29838,989164,1,1,495,60.26,0
1.02,3,0,1,4109.87,29260,24307,7830332,989164,0,1,276,68.06,0
1.02,3,0,1,4109.87,29260,24307,7830332,989164,1,1,276,68.06,0
1,3,0,1,6337.2,28637,20980,3036732,231325,1,1,283,60.87,0
1.01,3,0,0,4988.83,26993,24725,3532657,1074558,1,1,331,70.62,0
1.01,1,1,0,4343.35,26993,21207,3532657,2105604,1,1,595,97.93,0
1.24,3,1,0,4133.35,30124,21207,5787293,2105604,1,1,1259,158.5,0
1.15,3,1,0,3947.24,29260,21207,7830332,2105604,0,1,1187,168.92,1
1.15,0,1,0,3947.24,29260,21207,7830332,2105604,1,1,1187,168.92,1
1.16,3,1,0,5772.86,28637,21207,3036732,2105604,1,1,1116,185.11,1
1.17,3,1,0,6140.53,26506,21207,4459144,2105604,1,0,1151,133.98,0
1.21,3,1,0,4567.2,24706,21207,9056076,2105604,1,1,2336,207.83,1
1.42,3,1,0,2796.6,24575,26695,1197234,1646147,1,1,1521,146.36,0
1.29,3,0,0,6108.57,32991,26695,8621121,1646147,0,1,736,190.09,1
1.29,3,0,0,6108.57,32991,26695,8621121,1646147,0,1,736,190.09,1
1.29,1,0,0,6108.57,32991,26695,8621121,1646147,1,0,736,190.09,1
1.49,3,1,0,2985.42,22360,26695,1421287,1646147,1,1,1066,104.87,0
1.36,3,0,0,3146.68,23025,26695,2753373,1646147,1,1,1461,154.06,0
1.17,3,0,0,4317.66,26993,28739,3532657,2761118,1,0,904,269.43,1
1.18,3,0,0,7702.88,30124,28739,5787293,2761118,1,0,1114,258.85,1
1.01,3,0,0,3911.17,29260,28739,7830332,2761118,0,0,342,156.93,0
1.01,3,0,0,3911.17,29260,28739,7830332,2761118,1,0,342,156.93,0
1.1,3,0,0,4540.3,28637,28739,3036732,2761118,1,0,857,230.71,1
1.02,3,0,0,4347.48,29055,28739,1862106,2761118,1,0,693,133.5,0
1.14,3,0,0,9249.13,26506,28739,4459144,2761118,1,0,530,286.54,1
1.19,3,0,0,7958.31,25450,28739,1694803,2761118,1,0,401,232.55,1
1.13,3,1,0,6172.12,24575,28739,1197234,2761118,1,0,1301,171.67,1
1.24,3,0,0,6166.1,24706,28739,9056076,2761118,1,0,1539,246.1,1
1.02,3,0,1,3463.96,29260,25995,7830332,1115048,0,1,401,84.21,0
1.02,3,0,1,3463.96,29260,25995,7830332,1115048,1,1,401,84.21,0
1.1,3,0,0,7138.34,28637,25995,3036732,1115048,1,1,634,181.99,1
1.16,2,0,1,7746.63,26506,25995,4459144,1115048,1,0,466,166.25,1
1.08,3,0,1,4722.17,27211,25995,3770125,1115048,1,1,671,107.86,0
1.57,2,0,1,3106.38,24706,25995,9056076,1115048,1,1,1798,181.02,1
1.26,3,0,0,3647.27,32991,25995,8621121,1115048,0,1,760,215.01,1
1.26,3,0,0,3647.27,32991,25995,8621121,1115048,0,1,760,215.01,1
1.26,3,0,0,3647.27,32991,25995,8621121,1115048,1,0,760,215.01,1
1.17,1,1,1,2173.45,22360,25995,1421287,1115048,1,1,615,87.8,0
1.02,3,0,0,6269.75,26993,22038,3532657,1308499,1,1,419,120.7,0
1.2,3,0,1,2621.01,29260,22038,7830332,1308499,0,1,829,132.85,0
1.2,3,0,1,2621.01,29260,22038,7830332,1308499,1,1,829,132.85,0
1.05,3,0,1,4060.65,28637,22038,3036732,1308499,1,1,455,84.53,0
1.01,3,0,1,5117.49,27211,22038,3770125,1308499,1,1,319,76.81,0
1.43,3,0,1,2605.05,24706,22038,9056076,1308499,1,1,1678,202,1
1.92,3,0,0,1940.17,22089,32991,668159,8621121,0,1,1822,208.79,1
1.92,3,0,0,1940.17,22089,32991,668159,8621121,0,1,1822,208.79,1
1.92,3,0,0,1940.17,22089,32991,668159,8621121,1,0,1822,208.79,1
1.06,3,0,0,4593.38,26993,32991,3532657,8621121,0,1,756,162.28,1
1.06,3,0,0,4593.38,26993,32991,3532657,8621121,0,1,756,162.28,1
1.06,3,0,0,4593.38,26993,32991,3532657,8621121,1,0,756,162.28,1
1.69,3,0,0,3447.63,23665,32991,1038660,8621121,0,1,1515,287.23,1
1.69,3,0,0,3447.63,23665,32991,1038660,8621121,0,1,1515,287.23,1
1.69,3,0,0,3447.63,23665,32991,1038660,8621121,1,0,1515,287.23,1
1,3,0,0,2850.33,30124,32991,5787293,8621121,0,1,183,116.78,0
1,3,0,0,2850.33,30124,32991,5787293,8621121,0,1,183,116.78,0
1,3,0,0,2850.33,30124,32991,5787293,8621121,1,0,183,116.78,0
1.05,3,0,0,3316.9,29260,32991,7830332,8621121,0,1,723,159.71,0
1.05,3,0,0,3316.9,29260,32991,7830332,8621121,0,1,723,159.71,0
1.05,3,0,0,3316.9,29260,32991,7830332,8621121,0,0,723,159.71,0
1.05,3,0,0,3316.9,29260,32991,7830332,8621121,0,1,723,159.71,0
1.05,3,0,0,3316.9,29260,32991,7830332,8621121,0,1,723,159.71,0
1.05,3,0,0,3316.9,29260,32991,7830332,8621121,1,0,723,159.71,0
1.1,3,0,0,6102.03,25059,32991,1595139,8621121,0,0,582,205,1
1.1,3,0,0,6102.03,25059,32991,1595139,8621121,0,0,582,205,1
1.1,3,0,0,6102.03,25059,32991,1595139,8621121,1,0,582,205,1
1.07,3,0,0,6798.94,26046,32991,2230955,8621121,0,1,408,143.44,0
1.07,3,0,0,6798.94,26046,32991,2230955,8621121,0,1,408,143.44,0
1.07,3,0,0,6798.94,26046,32991,2230955,8621121,1,0,408,143.44,0
1.11,0,0,0,3046.45,24502,32991,125722,8621121,0,1,475,174.87,1
1.11,3,0,0,3046.45,24502,32991,125722,8621121,0,1,475,174.87,1
1.11,3,0,0,3046.45,24502,32991,125722,8621121,1,0,475,174.87,1
1.12,3,0,0,6583.72,28637,32991,3036732,8621121,0,1,1389,304.18,1
1.12,3,0,0,6583.72,28637,32991,3036732,8621121,0,1,1389,304.18,1
1.12,3,0,0,6583.72,28637,32991,3036732,8621121,1,0,1389,304.18,1
1.25,3,0,0,4809.1,29055,32991,1862106,8621121,0,1,1624,270.36,1
1.25,3,0,0,4809.1,29055,32991,1862106,8621121,0,1,1624,270.36,1
1.25,3,0,0,4809.1,29055,32991,1862106,8621121,1,0,1624,270.36,1
1.06,3,0,0,5430.52,26506,32991,4459144,8621121,0,0,492,209.35,1
1.06,3,0,0,5430.52,26506,32991,4459144,8621121,0,0,492,209.35,1
1.06,3,0,0,5430.52,26506,32991,4459144,8621121,1,0,492,209.35,1
1.06,3,1,0,2828.16,26752,32991,1440377,8621121,0,1,1068,123.18,0
1.06,3,1,0,2828.16,26752,32991,1440377,8621121,0,1,1068,123.18,0
1.06,3,1,0,2828.16,26752,32991,1440377,8621121,1,0,1068,123.18,0
1.22,3,1,0,3536.16,24510,32991,379566,8621121,0,1,1076,143.2,0
1.22,3,1,0,3536.16,24510,32991,379566,8621121,0,1,1076,143.2,0
1.22,3,1,0,3536.16,24510,32991,379566,8621121,1,0,1076,143.2,0
1.29,0,0,0,3152,21081,32991,895123,8621121,0,1,613,144.6,0
1.29,3,0,0,3152,21081,32991,895123,8621121,0,1,613,144.6,0
1.29,3,0,0,3152,21081,32991,895123,8621121,1,0,613,144.6,0
1.29,1,0,0,6438.27,27211,32991,3770125,8621121,0,1,1426,349.53,1
1.29,3,0,0,6438.27,27211,32991,3770125,8621121,0,1,1426,349.53,1
1.29,3,0,0,6438.27,27211,32991,3770125,8621121,1,0,1426,349.53,1
1.34,3,1,0,3840.28,23614,32991,1008768,8621121,0,1,842,183.43,1
1.34,3,1,0,3840.28,23614,32991,1008768,8621121,0,1,842,183.43,1
1.34,3,1,0,3840.28,23614,32991,1008768,8621121,1,0,842,183.43,1
1.4,3,0,0,2617.87,25450,32991,1694803,8621121,0,1,1103,223.99,1
1.4,0,0,0,2617.87,25450,32991,1694803,8621121,0,1,1103,223.99,1
1.4,3,0,0,2617.87,25450,32991,1694803,8621121,1,0,1103,223.99,1
1.36,3,1,0,2263.81,24575,32991,1197234,8621121,0,1,2237,169.41,1
1.36,3,1,0,2263.81,24575,32991,1197234,8621121,0,1,2237,169.41,1
1.36,3,1,0,2263.81,24575,32991,1197234,8621121,1,0,2237,169.41,1
1.17,3,0,0,2517.74,24706,32991,9056076,8621121,0,1,2467,326.47,1
1.17,3,0,0,2517.74,24706,32991,9056076,8621121,0,1,2467,326.47,1
1.17,3,0,0,2517.74,24706,32991,9056076,8621121,1,0,2467,326.47,1
1.29,3,0,0,6317.55,24725,32991,1074558,8621121,0,1,951,234.31,1
1.29,3,0,0,6317.55,24725,32991,1074558,8621121,0,1,951,234.31,1
1.29,3,0,0,6317.55,24725,32991,1074558,8621121,1,0,951,234.31,1
1.05,3,1,0,3042.09,21207,32991,2105604,8621121,0,1,1097,124.92,0
1.05,3,1,0,3042.09,21207,32991,2105604,8621121,0,1,1097,124.92,0
1.05,3,1,0,3042.09,21207,32991,2105604,8621121,1,0,1097,124.92,0
1.15,3,0,0,6143.2,28739,32991,2761118,8621121,0,0,1015,278.39,1
1.15,3,0,0,6143.2,28739,32991,2761118,8621121,0,0,1015,278.39,1
1.15,3,0,0,6143.2,28739,32991,2761118,8621121,1,0,1015,278.39,1
1.42,3,0,0,2995.1,22038,32991,1308499,8621121,0,1,1173,208.71,1
1.42,3,0,0,2995.1,22038,32991,1308499,8621121,0,1,1173,208.71,1
1.42,3,0,0,2995.1,22038,32991,1308499,8621121,1,0,1173,208.71,1
1.02,0,0,0,3585.86,21125,32991,1536012,8621121,0,1,291,150.13,0
1.02,3,0,0,3585.86,21125,32991,1536012,8621121,0,1,291,150.13,0
1.02,3,0,0,3585.86,21125,32991,1536012,8621121,1,0,291,150.13,0
1,3,0,1,8795.73,24706,29846,9056076,2237227,1,1,325,56.43,0
1.05,0,1,1,9062.95,24575,29846,1197234,2237227,1,1,407,58.03,0
1,3,0,1,5391.08,24706,29846,9056076,2237227,1,1,334,53.8,0
1,1,0,1,5149.03,28637,20927,3036732,1021733,1,1,180,66.14,0
1.09,3,0,1,4897.64,27211,20927,3770125,1021733,1,1,410,96.18,0
1.02,3,0,1,5230.32,29260,25127,7830332,679984,0,1,428,67.77,0
1.02,3,0,1,5230.32,29260,25127,7830332,679984,1,1,428,67.77,0
1,3,0,0,6131.6,29055,25127,1862106,679984,1,1,474,139.81,0
1.01,3,1,0,4581.03,26993,22360,3532657,1421287,1,1,404,92.78,0
1.24,3,1,0,3123.35,30124,22360,5787293,1421287,1,1,1119,117.97,0
1.09,3,1,1,1853.53,29260,22360,7830332,1421287,0,1,995,121.67,0
1.09,3,1,1,1853.53,29260,22360,7830332,1421287,1,1,995,121.67,0
1.17,3,1,0,5313.07,25059,22360,1595139,1421287,1,0,756,138.88,0
1.34,3,1,0,4568.58,26046,22360,2230955,1421287,1,1,902,140.9,0
1.5,0,1,1,2082.23,24502,22360,125722,1421287,1,1,802,104.33,0
1.08,3,1,0,3819.52,28637,22360,3036732,1421287,1,1,984,153.58,0
1.55,3,1,0,3651.91,29055,22360,1862106,1421287,1,1,1545,201.43,1
1.16,3,1,0,5790.88,26506,22360,4459144,1421287,1,0,963,102.95,0
1,3,1,1,4144.01,26752,22360,1440377,1421287,1,1,174,45.55,0
1.36,3,1,0,3217.37,30268,22360,1106780,1421287,1,1,1045,114.5,0
1.28,3,1,1,4843.94,27211,22360,3770125,1421287,1,1,856,150.04,0
1.68,0,1,1,1771.85,25450,22360,1694803,1421287,1,1,1064,121.35,0
1.48,3,1,0,3285.29,24575,22360,1197234,1421287,1,1,2035,117.59,0
1.4,3,1,0,4628.94,24706,22360,9056076,1421287,1,1,2216,258.43,1
1,0,1,0,5149.7,21207,22360,2105604,1421287,1,1,192,96.53,0
1,0,1,0,5149.7,21207,22360,2105604,1421287,1,1,192,96.53,0
