COUPON,NEW,HI,S_INCOME,E_INCOME,S_POP,E_POP,DISTANCE,VACATION_Yes,SW_Yes,SLOT_Free,GATE_Free,FARE
1.17,1,2173.45,22360,25995,1421287,1115048,615,1,1,1,1,87.8
1.01,3,6017.66,26993,37375,3532657,991717,546,1,0,1,1,104.11
1,3,6131.6,29055,25127,1862106,679984,474,0,0,1,1,139.81
1.05,3,3316.9,29260,32991,7830332,8621121,723,0,0,0,1,159.71
1,1,5149.03,28637,20927,3036732,1021733,180,0,1,1,1,66.14
1.12,3,6583.72,28637,32991,3036732,8621121,1389,0,0,1,0,304.18
1.01,3,3935.01,24575,21121,1197234,1228816,359,1,1,1,1,57.4
1.42,3,5870.66,26506,30916,4459144,2230831,1932,0,0,1,0,285.34
1.07,3,5255.24,30916,23901,2230831,372606,403,0,1,1,1,69.12
1,3,2806.92,32991,22069,8621121,743633,199,0,0,1,0,120.84
1,3,9592.99,24706,24575,9056076,1197234,226,1,1,1,1,52.92
1.6,2,2366.36,22360,21276,1421287,1481709,1032,1,1,1,1,118.17
1.36,3,3217.37,30268,22360,1106780,1421287,1045,1,0,1,1,114.5
1.01,3,4729.11,24706,24236,9056076,1481076,361,0,1,1,1,56.79
1.04,3,2447.14,38813,26681,1653017,873131,2401,1,0,1,1,177.09
1.08,3,3819.52,28637,22360,3036732,1421287,984,1,0,1,1,153.58
1,3,4992.63,28637,27211,3036732,3770125,234,0,1,1,1,67.78
1.16,3,4677.03,28637,26752,3036732,1440377,1118,1,0,1,1,207.84
1.09,3,5560.73,29260,31981,7830332,4549784,591,0,0,1,1,145.61
1,3,4449.76,32991,24205,8621121,905329,147,0,0,0,1,106.29
1.18,3,7362.53,28739,27994,2761118,4948339,979,0,0,1,0,295.46
1.46,3,2946.23,22038,31981,1308499,4549784,956,0,0,0,1,164.3
1.34,3,3840.28,23614,32991,1008768,8621121,842,1,0,0,1,183.43
1.21,3,6134.26,24510,25475,379566,1489247,943,1,0,1,1,105.73
1.01,0,3910.81,25059,29260,1595139,7830332,254,0,0,1,0,180.56
1.26,3,4876.68,23903,26409,2673620,249561,933,0,1,1,1,96.58
1,3,5034.18,25450,25824,1694803,2549844,244,0,1,1,1,56.8
1.14,3,4191.24,25824,29838,2549844,7145897,729,0,1,1,1,99.7
1.24,3,4133.35,30124,21207,5787293,2105604,1259,1,0,1,1,158.5
1.02,3,3463.96,29260,25995,7830332,1115048,401,0,1,0,1,84.21
1,0,2522.01,24706,24575,9056076,1197234,238,1,1,1,1,55.57
1.49,3,1833.95,30124,24575,5787293,1197234,2372,1,0,1,1,133.35
1.44,3,4112.44,26993,24575,3532657,1197234,1744,1,0,1,1,143.62
1.14,3,2260.17,29260,23654,7830332,2195215,1008,1,1,1,1,127.06
1.04,3,4215.01,26993,25054,3532657,2374260,525,0,0,1,0,93.55
1.01,3,3266.44,31981,26101,4549784,1021830,225,0,0,0,1,109.44
1.01,1,4343.35,26993,21207,3532657,2105604,595,1,0,1,1,97.93
1.1,3,6102.03,25059,32991,1595139,8621121,582,0,0,0,0,205
1.14,3,2260.17,29260,23654,7830332,2195215,1008,1,1,0,1,127.06
1.13,3,4146.13,29260,30268,7830332,1106780,779,0,0,0,1,240.88
1.06,3,4548.61,24575,38813,1197234,1653017,416,1,1,1,1,72.58
1.24,3,4935.18,28637,38813,3036732,1653017,1463,0,0,1,1,297.83
1.04,3,2712.37,26993,29260,3532657,7830332,595,0,0,0,1,106.6
1.18,3,8142.6,29055,34880,1862106,1594251,943,0,0,1,1,263.48
1.15,3,6143.2,28739,32991,2761118,8621121,1015,0,0,1,0,278.39
1.12,3,8714.03,32991,25237,8621121,1318892,539,0,0,1,0,250.73
1.24,3,4580.05,23654,31981,2195215,4549784,815,1,0,0,1,132.94
1.04,3,5483.29,30124,31981,5787293,4549784,400,0,0,1,1,132.79
1.25,3,4809.1,29055,32991,1862106,8621121,1624,0,0,1,0,270.36
1,0,5149.7,21207,22360,2105604,1421287,192,1,0,1,1,96.53
1.16,2,7746.63,26506,25995,4459144,1115048,466,0,1,1,0,166.25
1.27,3,3543.34,32991,25475,8621121,1489247,657,0,0,0,1,195.64
1.02,3,4109.87,29260,24307,7830332,989164,276,0,1,1,1,68.06
1.37,3,3264.94,24706,27994,9056076,4948339,2407,0,0,1,1,293.21
1.56,3,3391.87,24502,23025,125722,2753373,1673,0,1,1,1,158
1.13,3,7845.92,28739,30916,2761118,2230831,1402,0,0,1,0,186.96
1.01,3,5130.29,28637,21276,3036732,1481709,242,0,1,1,1,63.69
1.4,3,2617.87,25450,32991,1694803,8621121,1103,0,0,1,0,223.99
1.2,3,3247.31,29260,26752,7830332,379566,1108,1,0,1,1,136.68
1.36,3,2263.81,24575,32991,1197234,8621121,2237,1,0,0,1,169.41
1.16,3,5772.86,28637,21207,3036732,2105604,1116,1,0,1,1,185.11
1.87,3,1572.93,23903,29838,2673620,7145897,2290,0,1,1,1,200.2
1.05,3,5108.01,23025,34880,2753373,1594251,614,0,1,1,1,92.57
1.02,3,6372.59,28690,30916,249642,2230831,1443,0,0,1,1,142.83
1.01,3,9819.56,24706,24236,9056076,1481076,349,0,1,1,1,52.53
1.37,3,3787.29,32991,30460,8621121,528868,1042,1,0,0,1,137.25
1.29,3,6438.27,27211,32991,3770125,8621121,1426,0,0,0,1,349.53
1.22,3,3536.16,24510,32991,379566,8621121,1076,1,0,0,1,143.2
1.21,3,4567.2,24706,21207,9056076,2105604,2336,1,0,1,1,207.83
1.08,3,4128.6,29055,25824,1862106,2549844,785,0,0,1,1,207.17
1.02,3,6269.75,26993,22038,3532657,1308499,419,0,0,1,1,120.7
1.94,3,1888.3,30124,23903,5787293,2673620,2576,0,0,1,1,291.51
1.01,3,3428.64,32991,26044,8621121,113091,254,0,0,0,1,127.38
1.17,3,4317.66,26993,28739,3532657,2761118,904,0,0,1,0,269.43
1.09,3,5560.73,29260,31981,7830332,4549784,591,0,0,0,1,145.61
1.53,3,5155.47,30124,34880,5787293,1594251,2682,0,0,1,1,402.02
1.16,3,6275.61,32991,25824,8621121,2549844,877,0,0,0,1,261.63
1.25,3,5736.34,26993,30124,3532657,5787293,939,0,0,1,1,210
1.35,3,5840.94,29055,27994,1862106,4948339,1568,0,0,1,1,335.55
1.43,3,2605.05,24706,22038,9056076,1308499,1678,0,1,1,1,202
1.25,3,4809.1,29055,32991,1862106,8621121,1624,0,0,0,1,270.36
1.49,3,2985.42,22360,26695,1421287,1646147,1066,1,0,1,1,104.87
1.1,3,2422.98,32991,23654,8621121,2195215,1009,1,0,0,1,123.89
1.56,0,2659.94,26046,23025,2230955,2753373,1749,0,1,1,1,166.66
1,3,5502.33,23665,28637,1038660,3036732,184,0,1,1,1,67.17
1.78,3,2905.97,32991,21276,8621121,1481709,1577,0,0,0,1,273.53
1.17,3,5921.73,28637,27994,3036732,4948339,1314,0,0,1,1,249.45
1.52,3,2967.59,38813,29838,1653017,7145897,2454,0,0,1,1,246.85
1.37,3,6865.77,38813,31981,1653017,4549784,2428,0,0,0,1,347.82
1.15,3,6143.2,28739,32991,2761118,8621121,1015,0,0,0,0,278.39
1.26,3,4542.83,30124,26101,5787293,1021830,606,0,0,1,1,140.07
1.1,3,2422.98,32991,23654,8621121,2195215,1009,1,0,0,1,123.89
1.31,3,5433.17,26752,31981,1440377,4549784,896,1,0,0,1,127.67
1.05,3,3316.9,29260,32991,7830332,8621121,723,0,0,0,1,159.71
1.69,3,3447.63,23665,32991,1038660,8621121,1515,0,0,0,1,287.23
1.09,3,1853.53,29260,22360,7830332,1421287,995,1,1,1,1,121.67
1.42,3,2995.1,22038,32991,1308499,8621121,1173,0,0,1,0,208.71
1.09,3,4935.72,22089,24706,668159,9056076,673,0,1,1,1,76.79
1.23,3,6166.33,22360,25054,1421287,2374260,831,1,0,1,0,122.62
1,3,2487.89,32991,31981,8621121,4549784,217,0,0,1,0,114.35
1.68,0,1771.85,25450,22360,1694803,1421287,1064,1,1,1,1,121.35
1.07,3,4860.36,23025,29284,2753373,298680,592,1,1,1,1,72.42
1.22,3,3536.16,24510,32991,379566,8621121,1076,1,0,1,0,143.2
1.01,3,2800.91,29260,26046,7830332,2915745,316,0,1,0,1,69.1
1.34,3,4409.42,29260,26409,7830332,249561,1749,0,0,1,1,279.61
1.08,3,2386.85,32991,22360,8621121,1421287,947,1,0,0,1,123.97
1.2,3,3247.31,29260,26752,7830332,379566,1108,1,0,0,1,136.68
1.01,3,4581.03,26993,22360,3532657,1421287,404,1,0,1,1,92.78
1.02,3,5898.74,32991,25054,8621121,2374260,325,0,0,1,0,169.9
1.03,3,1706.89,24706,26681,9056076,873131,2555,1,0,1,1,167.16
1,0,5149.7,21207,22360,2105604,1421287,192,1,0,1,1,96.53
1.58,3,2295.23,23025,31981,2753373,4549784,1970,0,0,0,1,279.83
1.29,3,7105.01,25054,23654,2374260,2195215,874,1,0,1,0,119.84
1.55,3,4358.51,30916,31981,2230831,4549784,2317,0,0,1,1,281.06
1.11,0,3046.45,24502,32991,125722,8621121,475,0,0,0,1,174.87
1.55,2,3087.27,22360,24205,1421287,905329,1075,1,0,1,1,108.96
1.28,3,6754.48,28637,29838,3036732,7145897,1220,0,0,1,1,228
1.02,3,5201.65,30916,34880,2230831,1594251,702,0,1,1,1,63.3
1.02,3,3363.8,26506,25824,4459144,2549844,447,0,1,1,0,77.46
1,3,7231.62,14600,23025,677757,2753373,353,0,1,1,1,60.73
1.15,3,5121.24,21207,31981,2105604,4549784,924,1,0,1,1,147.8
1.08,3,3905.34,24706,30916,9056076,2230831,957,0,1,1,1,101.64
1,3,3105.31,24706,23903,9056076,2673620,114,0,0,1,1,70.41
1.16,3,4523.31,29260,25237,7830332,1318892,589,0,0,1,0,234.15
1.39,3,5559.43,30124,38813,5787293,1653017,2694,0,0,1,1,367.72
1.27,3,3446.75,23025,25475,2753373,1489247,1491,0,1,1,1,138.08
1.24,3,4580.05,23654,31981,2195215,4549784,815,1,0,1,1,132.94
1.63,3,3784.94,26681,26409,873131,249561,2603,1,0,1,1,205.51
1.56,3,3300.08,26046,24706,2230955,9056076,2062,0,0,1,1,231.97
1,3,9978.49,24706,38813,9056076,1653017,332,0,0,1,1,83.74
1.03,3,7046.11,26993,26101,3532657,1021830,356,0,0,1,1,123.44
1.14,3,4439.86,28637,25237,3036732,1318892,940,0,0,1,0,203.17
1.04,3,5198.85,24236,26409,1481076,249561,485,0,1,1,1,65.8
1.15,3,2482.76,29260,26752,7830332,1440377,1168,1,1,1,1,153.95
1.12,3,4471.62,25995,29838,1115048,7145897,587,0,1,1,1,79.17
1.16,3,6460.84,28637,31981,3036732,4549784,1185,0,0,0,1,256.86
1.42,3,2995.1,22038,32991,1308499,8621121,1173,0,0,0,1,208.71
1.08,0,7641.73,22089,24575,668159,1197234,479,1,1,1,1,72.43
1.14,3,5335.32,22360,27994,1421287,4948339,872,1,0,1,1,114.28
1.34,3,4409.42,29260,26409,7830332,249561,1749,0,0,0,1,279.61
1.2,3,5068.53,29260,38813,7830332,1653017,1851,0,0,1,1,291.66
1.16,3,3627.46,29260,23858,7830332,895414,576,0,1,1,1,113.5
1.28,3,5566.43,31981,37375,4549784,991717,858,1,0,0,1,129.62
1.19,3,3413.42,29260,24706,7830332,9056076,1751,0,0,0,1,233.78
1.06,3,8162.77,30124,26506,5787293,4459144,616,0,0,1,0,110.42
1.45,3,3198.81,29260,23614,7830332,1008768,865,1,0,1,1,158.63
1.06,3,5419.16,26993,29838,3532657,7145897,576,0,0,1,1,174.47
1.06,3,5296.51,26409,29284,249561,298680,444,1,1,1,1,44.89
1.93,3,2000.67,21121,29838,1228816,7145897,1866,0,1,1,1,157.5
1.01,3,4040.09,32991,23184,8621121,1173217,291,0,0,0,1,134.3
1.15,3,4191.14,21207,27994,2105604,4948339,1026,1,0,1,1,152.67
1.31,3,2710.38,23025,26409,2753373,249561,1001,0,1,1,1,114.95
1,3,10000,29846,29284,2237227,298680,180,1,1,1,1,47.85
1,1,2487.89,32991,31981,8621121,4549784,217,0,0,0,1,114.35
1.19,3,5605.06,30124,28637,5787293,3036732,1559,0,0,1,1,320.37
1,3,3059.78,29260,26506,7830332,4459144,237,0,1,1,0,74.28
1.02,3,3585.86,21125,32991,1536012,8621121,291,0,0,1,0,150.13
1.21,3,7577.56,26752,27994,1440377,4948339,997,1,0,1,1,132.77
1.01,1,2800.91,29260,26046,7830332,2915745,316,0,1,1,1,69.1
1.29,3,6317.55,24725,32991,1074558,8621121,951,0,0,0,1,234.31
1.13,3,4655.18,29838,24307,29838,989164,495,0,1,1,1,60.26
1.41,3,3516.97,27994,38813,4948339,1653017,2523,0,0,1,1,326.76
1.11,3,6039.76,24706,30916,9056076,2230831,943,0,1,1,1,97.46
1.1,0,4711.47,28637,23025,3036732,2753373,870,0,0,1,1,229.84
1.56,3,3135.14,24575,26681,1197234,873131,2764,1,0,1,1,183.19
1.04,3,5796.38,30268,31981,1106780,4549784,315,0,0,0,1,117.35
1,3,3692.28,26752,23654,1440377,2195215,187,1,1,1,1,46.32
1.34,3,2587.89,32991,18851,8621121,254153,637,0,0,0,1,118.95
1.15,3,2044.21,29260,24575,7830332,1197234,1519,1,1,0,1,123.74
1.06,3,2657.35,29260,29838,7830332,7145897,612,0,1,1,1,85.47
1.92,3,1940.17,22089,32991,668159,8621121,1822,0,0,0,1,208.79
1.07,3,6798.94,26046,32991,2230955,8621121,408,0,0,0,1,143.44
1.1,3,6102.03,25059,32991,1595139,8621121,582,0,0,0,0,205
1.22,3,4033.32,28637,26506,3036732,4459144,1001,0,0,1,0,245.28
1.24,3,3009.48,22360,25475,1421287,1489247,828,1,1,1,1,97.36
1.31,2,1843.52,24706,25450,9056076,1694803,1365,0,1,1,1,116
1.27,3,3543.34,32991,25475,8621121,1489247,657,0,0,1,0,195.64
1.42,3,4956.58,24502,24575,125722,1197234,1769,1,0,1,1,115.84
1.14,3,6825.49,29055,30916,1862106,2230831,1028,0,0,1,1,169.92
1.07,3,6798.94,26046,32991,2230955,8621121,408,0,0,1,0,143.44
1.05,3,4312.95,26993,26506,3532657,4459144,600,0,0,1,0,106.56
1.12,3,5180.13,26993,25475,3532657,1489247,430,0,0,1,1,109.78
1.34,3,6037.84,28739,22360,2761118,1421287,1308,1,0,1,0,204.62
1.13,3,5201.34,23654,29838,2195215,7145897,846,1,1,1,1,106.77
1.01,3,4891.84,26993,23654,3532657,2195215,414,1,0,1,1,87.35
1.06,0,3153.68,24706,26409,9056076,249561,831,0,1,1,1,91.97
1.27,3,3654.11,29260,34880,7830332,1594251,1837,0,0,0,1,294.18
1,3,2806.92,32991,22069,8621121,743633,199,0,0,0,1,120.84
1.09,3,4351.31,23025,22263,2753373,472254,550,0,0,1,1,77.98
1,3,6269.39,23665,27211,1038660,3770125,138,0,1,1,1,67.1
1,3,6362.24,22089,23025,668159,2753373,327,0,1,1,1,57.05
1.57,3,3329.81,23903,31981,2673620,4549784,2259,0,0,0,1,273.83
1.12,3,7516.35,28637,34880,3036732,1594251,1436,0,0,1,1,325.02
1.25,3,4417.16,23665,29260,1038660,7830332,974,0,1,0,1,136.27
1.5,0,2082.23,24502,22360,125722,1421287,802,1,1,1,1,104.33
1.15,3,2482.76,29260,26752,7830332,1440377,1168,1,1,0,1,153.95
1.05,3,3316.9,29260,32991,7830332,8621121,723,0,0,0,1,159.71
1.09,3,7251.37,29055,38813,1862106,1653017,960,0,0,1,1,168.96
1.02,0,9649.01,30124,27994,5787293,4948339,265,0,0,1,1,138.56
1.1,3,6589.49,29055,24706,1862106,9056076,854,0,0,1,1,129.8
1.32,3,4771.66,30124,37375,5787293,991717,1193,1,0,1,1,127.83
1,0,6397.4,30916,26409,2230831,249561,135,0,0,1,1,88.46
1.06,3,4593.38,26993,32991,3532657,8621121,756,0,0,0,1,162.28
1.2,3,5976.02,28637,24706,3036732,9056076,1234,0,0,1,1,272.06
1.69,3,3447.63,23665,32991,1038660,8621121,1515,0,0,1,0,287.23
1.19,3,7617.69,28637,26101,3036732,1021830,1065,0,0,1,1,230.56
1.15,3,5584,26752,29838,1440377,7145897,921,1,1,1,1,116.54
1.88,3,2012.46,22360,30916,1421287,2230831,2553,1,0,1,1,238.73
1.14,3,4103.1,29055,27211,1862106,3770125,866,0,0,1,1,204.68
1,3,5791.78,21207,23654,2105604,2195215,194,1,0,1,1,85.62
1.39,3,2892.9,32991,23025,8621121,2753373,2148,0,0,0,1,273.12
1,3,2487.89,32991,31981,8621121,4549784,217,0,0,0,0,114.35
1.12,3,6583.72,28637,32991,3036732,8621121,1389,0,0,0,1,304.18
1.04,3,3296.05,29260,25450,7830332,1694803,407,0,1,0,1,75.71
1.01,3,3428.64,32991,26044,8621121,113091,254,0,0,0,1,127.38
1.04,3,3642.39,26046,25824,2230955,2549844,492,0,1,1,1,77.62
1.78,3,2905.97,32991,21276,8621121,1481709,1577,0,0,1,0,273.53
1.89,3,2225.74,22089,31981,668159,4549784,1643,0,0,0,1,215.57
1.55,3,4358.51,30916,31981,2230831,4549784,2317,0,0,0,1,281.06
1.27,3,3654.11,29260,34880,7830332,1594251,1837,0,0,1,1,294.18
1.02,3,4491.65,38813,21121,1653017,1228816,593,0,0,1,1,85.19
1.24,3,3362.86,32991,38813,8621121,1653017,2574,0,0,0,1,374.4
